generation,best_fitness,avg_fitness,worst_fitness,improvement_percent,mutation_rate
49,13.2,13.035333333333334,11.799999999999999,0.25251554188297926,0.00125
50,13.2,13.001833333333332,10.450000000000001,-0.25699381169131486,0.00125
51,13.2,13.0205,11.149999999999999,0.14356949660946405,0.001
52,13.2,13.027999999999999,11.4,0.05760147459773824,0.001
53,13.2,13.053833333333332,11.4,0.19829086071026203,0.001
54,13.2,13.071166666666667,11.4,0.1327834735646105,0.001
55,13.2,13.078,11.6,0.05227791449372896,0.001
56,13.2,13.074333333333332,10.9,-0.02803690676454806,0.001
57,13.2,13.081166666666666,11.5,0.052265252530412615,0.001
58,13.2,13.090666666666666,11.249999999999998,0.07262349178844274,0.001
59,13.2,13.078333333333333,11.4,-0.09421470767976486,0.001
60,13.2,13.095,11.299999999999999,0.1274372371607047,0.001
61,13.2,13.091666666666667,11.1,-0.025455008272881666,0.001
62,13.2,13.032,9.999999999999998,-0.45576066199872767,0.001
63,13.2,13.109833333333333,10.299999999999999,0.5972478002864682,0.001
64,13.2,13.135166666666665,11.9,0.193239171614175,0.001
65,13.2,13.144166666666667,12.3,0.06851835403688916,0.001
66,13.2,13.129333333333333,11.799999999999999,-0.11285107462119087,0.001
67,13.2,13.119666666666665,10.9,-0.07362648522393486,0.001
68,13.2,13.150666666666666,12.4,0.2362864910185771,0.001
69,13.2,13.135666666666665,10.9,-0.11406265842036324,0.001
70,13.2,13.124833333333333,11.8,-0.08247265714212472,0.001
71,13.2,13.129,12.0,0.03174643487536169,0.001
72,13.2,13.123333333333333,11.9,-0.043161449209128545,0.001
73,13.2,13.104333333333333,10.399999999999999,-0.1447802895605801,0.001
74,13.2,13.131833333333333,11.899999999999999,0.2098542466868455,0.001
75,13.2,13.155166666666666,12.2,0.17768526862205147,0.001
76,13.2,13.136666666666667,11.299999999999999,-0.1406291571119042,0.001
77,13.2,13.135833333333334,11.5,-0.006343567622425086,0.001
78,13.2,13.149166666666666,11.699999999999998,0.10150352090337014,0.001
79,13.2,13.131499999999999,10.399999999999999,-0.13435578934026446,0.001
80,13.2,13.096666666666666,10.2,-0.2652654558377434,0.001
81,13.2,13.127333333333333,10.9,0.2341562738610347,0.001
82,13.2,13.143833333333331,11.5,0.12569194048041377,0.001
83,13.2,13.147166666666665,11.5,0.025360435185071743,0.001
84,13.2,13.155166666666666,11.599999999999998,0.06084961271757588,0.001
85,13.2,13.163666666666666,11.599999999999998,0.06461339651087454,0.001
86,13.2,13.138666666666666,11.599999999999998,-0.18991668987870927,0.001
87,13.2,13.122333333333332,9.999999999999998,-0.12431499898518689,0.001
88,13.2,13.163666666666666,11.5,0.31498463179821257,0.001
89,13.2,13.138333333333334,10.9,-0.19244891241041495,0.001
90,13.2,13.150666666666666,11.5,0.09387289103132629,0.001
91,13.2,13.160666666666666,11.9,0.07604177228023766,0.001
92,13.2,13.155999999999999,11.399999999999999,-0.03545919659591997,0.001
93,13.2,13.171333333333331,11.1,0.11655011655011048,0.001
94,13.2,13.158833333333332,11.299999999999999,-0.09490307232878947,0.001
95,13.2,13.156166666666666,11.399999999999999,-0.020265221080894,0.001
96,13.2,13.151333333333332,11.099999999999998,-0.03673815827812492,0.001
97,13.2,13.160833333333333,11.5,0.07223602169615972,0.001
98,13.2,13.166166666666667,11.699999999999998,0.0405242829101591,0.001
99,13.2,13.148833333333332,11.5,-0.1316505690089622,0.001
